id,ACTION
1,0.9421098040942603
2,0.9421099014548168
3,0.9421101551605494
4,0.942110022640465
5,0.942110111223648
6,0.9421100265379166
7,0.9421097884779078
8,0.9421103825433698
9,0.942109624246247
10,0.9421099158875127
11,0.9421100818004701
12,0.9421098551379136
13,0.9421100529377366
14,0.9421095020639215
15,0.9421098841101784
16,0.9421099095857852
17,0.9421095028468714
18,0.9421097461438422
19,0.9421102355620886
20,0.9421102783614194
21,0.9421103260500736
22,0.9421098308993643
23,0.9421101012551808
24,0.9421099153683917
25,0.9421102805503683
26,0.9421098488419638
27,0.9421099930770473
28,0.9421099562213425
29,0.9421099967411317
30,0.9421096865208164
31,0.9421100319228463
32,0.9421099692595024
33,0.9421100227768691
34,0.9421100847264972
35,0.9421099821466112
36,0.9421100967064461
37,0.9421098558401109
38,0.9421102868295773
39,0.9421099996530854
40,0.9421097673958692
41,0.9421096097303037
42,0.9421100883434814
43,0.9421100061317166
44,0.9421100621165814
45,0.9421101841820573
46,0.9421099672023486
47,0.9421102507048404
48,0.942110073206967
49,0.9421104602307797
50,0.9421100391669481
51,0.942109850098961
52,0.9421100585714676
53,0.9421098396521119
54,0.9421101477565433
55,0.942110200242524
56,0.9421101083075084
57,0.9421098828735703
58,0.9421101713490444
59,0.9421100842338298
60,0.9421102116281291
61,0.9421100768573218
62,0.9421103169736412
63,0.9421100622842247
64,0.9421102158304906
65,0.9421103125115978
66,0.9421100490945591
67,0.9421099630918421
68,0.942110257465144
69,0.9421099819279855
70,0.942109517641517
71,0.9421100303754689
72,0.9421100292820493
73,0.94211016213111
74,0.9421101629625503
75,0.9421100499331208
76,0.9421100473899837
77,0.9421101966379588
78,0.9421098045382236
79,0.9421097017365955
80,0.9421101649068113
81,0.9421102674718663
82,0.9421101888305256
83,0.9421100808923257
84,0.9421100899035874
85,0.9421100749574816
86,0.9421099855043948
87,0.942110019922499
88,0.9421101574142012
89,0.9421101215542355
90,0.9421098458672238
91,0.9421099674862504
92,0.9421095704575635
93,0.942110221081045
94,0.9421099971586078
95,0.9421100802978497
96,0.9421102185070347
97,0.942109596487778
98,0.942110058579468
99,0.9421100632418556
100,0.9421102278365535
101,0.9421099872404763
102,0.9421096972085572
103,0.9421101303278988
104,0.9421098860529468
105,0.9421097266954701
106,0.942110034256039
107,0.9421101238088889
108,0.94211002776373165
109,0.9421101238118853
110,0.9421101092780749
111,0.9421097529124701
112,0.9421100048085339
113,0.942109993987995
114,0.9421102658427585
115,0.9421100349912976
116,0.9421098297278315
117,0.9421097900459047
118,0.9421101684161081
119,0.9421103489071484
120,0.942110059777996
121,0.9421099169592765
122,0.9421101954686759
123,0.9421098707409128
124,0.9421102676637806
125,0.9421100965154838
126,0.9421097432240858
127,0.9421096824572912
128,0.9421097971165979
129,0.9421099640255192
130,0.9421100613426621
131,0.9421100639921359
132,0.94211018630225285
133,0.9421100671471698
134,0.942109748079154
